DENSITY,INSTANCE,VALOR,TIEMPO(ms)
0.1,1,53,0.000463154
0.1,2,49,0.000301836
0.1,3,47,0.000348562
0.1,4,50,0.000399098
0.1,5,51,0.000377949
0.1,6,49,0.000308359
0.1,7,51,0.000362438
0.1,8,51,0.000334646
0.1,9,49,0.00032467
0.1,10,50,0.000276064
0.1,11,48,0.000249296
0.1,12,50,0.000252102
0.1,13,52,0.000258203
0.1,14,49,0.000241779
0.1,15,51,0.000254423
0.1,16,51,0.000255872
0.1,17,54,0.000268796
0.1,18,49,0.000246018
0.1,19,51,0.000323257
0.1,20,52,0.000256723
0.1,21,51,0.000251859
0.1,22,47,0.000562731
0.1,23,48,0.00025167
0.1,24,48,0.000352539
0.1,25,50,0.000286874
0.1,26,48,0.000320866
0.1,27,52,0.00038419
0.1,28,46,0.000343795
0.1,29,51,0.000319135
0.1,30,52,0.000421432
0.2,1,27,0.000314583
0.2,2,29,0.00039683
0.2,3,28,0.000393773
0.2,4,30,0.000476122
0.2,5,27,0.000402262
0.2,6,27,0.000296895
0.2,7,27,0.000386874
0.2,8,28,0.000337535
0.2,9,26,0.000286344
0.2,10,28,0.000303935
0.2,11,27,0.000308686
0.2,12,27,0.000322342
0.2,13,27,0.000399872
0.2,14,28,0.000834694
0.2,15,29,0.000474589
0.2,16,27,0.000409277
0.2,17,29,0.000449772
0.2,18,27,0.000426151
0.2,19,27,0.000437269
0.2,20,30,0.000445858
0.2,21,27,0.00039735
0.2,22,28,0.000404202
0.2,23,30,0.000406301
0.2,24,30,0.000368316
0.2,25,26,0.000286053
0.2,26,27,0.000301286
0.2,27,31,0.000372496
0.2,28,28,0.000431702
0.2,29,28,0.000395797
0.2,30,28,0.000312073
0.3,1,18,0.000357919
0.3,2,18,0.000325508
0.3,3,18,0.000405074
0.3,4,18,0.000294652
0.3,5,20,0.000349805
0.3,6,17,0.000392564
0.3,7,19,0.000374917
0.3,8,17,0.000274526
0.3,9,20,0.000381053
0.3,10,20,0.00033762
0.3,11,19,0.000314784
0.3,12,21,0.000593491
0.3,13,19,0.000328627
0.3,14,17,0.000331899
0.3,15,19,0.000318771
0.3,16,20,0.00030992
0.3,17,19,0.000278002
0.3,18,18,0.0003134
0.3,19,20,0.000325822
0.3,20,20,0.000310464
0.3,21,19,0.000282378
0.3,22,19,0.000422422
0.3,23,19,0.000324389
0.3,24,20,0.000315173
0.3,25,17,0.000267917
0.3,26,22,0.000351116
0.3,27,20,0.000333441
0.3,28,19,0.000360051
0.3,29,18,0.000351507
0.3,30,18,0.000265381
0.4,1,15,0.000285739
0.4,2,16,0.000327578
0.4,3,17,0.000371456
0.4,4,13,0.000375324
0.4,5,15,0.000420993
0.4,6,14,0.000479014
0.4,7,15,0.000391042
0.4,8,13,0.000287756
0.4,9,15,0.000345845
0.4,10,14,0.000402945
0.4,11,13,0.000280662
0.4,12,14,0.00030035
0.4,13,14,0.00027661
0.4,14,15,0.000292701
0.4,15,13,0.000294662
0.4,16,15,0.000317648
0.4,17,14,0.000323128
0.4,18,14,0.000464008
0.4,19,14,0.000305771
0.4,20,14,0.000275509
0.4,21,16,0.000530899
0.4,22,14,0.000299725
0.4,23,14,0.000385485
0.4,24,14,0.000315516
0.4,25,16,0.000370137
0.4,26,14,0.000315121
0.4,27,15,0.00032691
0.4,28,14,0.000335319
0.4,29,12,0.000237827
0.4,30,14,0.000325221
0.5,1,11,0.000302106
0.5,2,11,0.000299761
0.5,3,12,0.000330887
0.5,4,11,0.000317093
0.5,5,12,0.0003291
0.5,6,11,0.000429579
0.5,7,12,0.000287298
0.5,8,10,0.000245102
0.5,9,12,0.000287047
0.5,10,12,0.000305288
0.5,11,11,0.000324561
0.5,12,12,0.000317166
0.5,13,13,0.000351525
