N,Densidad,Greedy_Media,Greedy_Std,SA_Media,SA_Std,BRKGA_Media,BRKGA_Std,BRKGA_Hybrid_Media,BRKGA_Hybrid_Std
1000,0.1,49.23,2.02,61.67,1.647,61.13,1.432,60.3,2.52
1000,0.2,27.22,1.728,34.1,1.094,34.17,1.053,33.6,0.88
1000,0.3,18.43,1.294,23.47,0.776,23.73,0.691,23.73,0.51
1000,0.4,13.83,1.122,17.53,0.571,18.3,0.466,18.13,0.43
1000,0.5,10.88,0.94,13.8,0.551,14.83,0.379,14.57,0.5
1000,0.6,8.82,1.172,11.37,0.556,12.13,0.346,12.1,0.3
1000,0.7,7.02,0.873,9.03,0.414,10.0,0.0,10.07,0.25
1000,0.8,5.63,0.823,7.4,0.498,8.33,0.479,8.1,0.3
1000,0.9,4.45,0.699,6.03,0.183,6.77,0.43,6.67,0.47
2000,0.1,55.62,2.598,68.1,1.561,62.77,1.675,61.87,1.41
2000,0.2,30.07,1.716,37.53,0.973,36.27,0.944,35.87,1.09
2000,0.3,20.08,1.266,25.63,0.964,25.4,0.498,25.47,0.56
2000,0.4,15.18,1.017,19.07,0.74,19.53,0.571,19.27,0.44
2000,0.5,11.77,0.998,14.83,0.592,15.43,0.504,15.4,0.49
2000,0.6,9.4,0.807,11.97,0.414,12.83,0.379,12.5,0.5
2000,0.7,7.73,0.954,9.77,0.568,10.57,0.504,10.33,0.47
2000,0.8,6.18,0.833,7.93,0.365,8.87,0.346,8.67,0.47
2000,0.9,4.65,0.799,6.07,0.254,7.0,0.0,7.0,0.0
3000,0.1,59.52,2.182,72.3,1.643,65.33,0.711,65.13,0.85
3000,0.2,31.3,1.598,38.9,0.803,37.33,0.959,36.73,0.63
3000,0.3,21.17,1.392,26.37,0.85,26.33,0.479,25.97,0.66
3000,0.4,15.68,1.282,19.6,0.675,20.23,0.43,20.07,0.57
3000,0.5,12.23,0.927,15.2,0.484,16.1,0.305,15.83,0.37
3000,0.6,9.65,0.971,12.17,0.461,13.13,0.346,13.07,0.25
3000,0.7,7.83,0.977,9.97,0.32,11.03,0.183,10.73,0.44
3000,0.8,6.22,0.885,7.93,0.365,9.03,0.183,8.9,0.3
3000,0.9,4.83,0.693,6.07,0.254,7.07,0.254,7.0,0.0
