instancia,seed,job_id,nodo,valor_objetivo,tiempo_ejecucion,exito
erdos_n1000_p0c0.1_10,42,3961049,luthier20,,10,SI
erdos_n1000_p0c0.1_11,42,3961050,luthier20,,10,SI
erdos_n1000_p0c0.1_12,42,3961051,luthier20,,10,SI
erdos_n1000_p0c0.1_13,42,3961052,luthier21,,10,SI
erdos_n1000_p0c0.1_14,42,3961053,luthier21,,10,SI
erdos_n1000_p0c0.1_15,42,3961054,luthier21,,10,SI
erdos_n1000_p0c0.1_16,42,3961055,luthier22,,10,SI
erdos_n1000_p0c0.1_17,42,3961056,luthier22,,10,SI
erdos_n1000_p0c0.1_18,42,3961057,luthier22,,10,SI
erdos_n1000_p0c0.1_19,42,3961058,luthier23,,10,SI
erdos_n1000_p0c0.1_1,42,3961040,luthier16,,10,SI
erdos_n1000_p0c0.1_20,42,3961059,luthier23,,10,SI
erdos_n1000_p0c0.1_21,42,3961060,luthier23,,10,SI
erdos_n1000_p0c0.1_22,42,3961061,luthier24,,10,SI
erdos_n1000_p0c0.1_23,42,3961062,luthier24,,10,SI
erdos_n1000_p0c0.1_24,42,3961063,luthier24,,10,SI
erdos_n1000_p0c0.1_25,42,3961064,luthier25,,10,SI
erdos_n1000_p0c0.1_26,42,3961065,luthier25,,10,SI
erdos_n1000_p0c0.1_27,42,3961066,luthier25,,10,SI
erdos_n1000_p0c0.1_28,42,3961067,luthier26,,10,SI
erdos_n1000_p0c0.1_29,42,3961068,luthier26,,10,SI
erdos_n1000_p0c0.1_2,42,3961041,luthier16,,10,SI
erdos_n1000_p0c0.1_30,42,3961069,luthier26,,10,SI
erdos_n1000_p0c0.1_3,42,3961042,luthier16,,10,SI
erdos_n1000_p0c0.1_4,42,3961043,luthier17,,10,SI
erdos_n1000_p0c0.1_5,42,3961044,luthier17,,10,SI
erdos_n1000_p0c0.1_6,42,3961045,luthier17,,10,SI
erdos_n1000_p0c0.1_7,42,3961046,luthier18,,10,SI
erdos_n1000_p0c0.1_8,42,3961047,luthier18,,10,SI
erdos_n1000_p0c0.1_9,42,3961048,luthier18,,10,SI
erdos_n1000_p0c0.2_10,42,3961079,luthier30,,10,SI
erdos_n1000_p0c0.2_11,42,3961080,luthier30,,10,SI
erdos_n1000_p0c0.2_12,42,3961081,luthier30,,10,SI
erdos_n1000_p0c0.2_13,42,3961082,luthier16,,10,SI
erdos_n1000_p0c0.2_14,42,3961083,luthier16,,10,SI
erdos_n1000_p0c0.2_15,42,3961084,luthier16,,10,SI
erdos_n1000_p0c0.2_16,42,3961085,luthier17,,10,SI
erdos_n1000_p0c0.2_17,42,3961086,luthier17,,10,SI
erdos_n1000_p0c0.2_18,42,3961087,luthier17,,10,SI
erdos_n1000_p0c0.2_19,42,3961088,luthier23,,10,SI
erdos_n1000_p0c0.2_1,42,3961070,luthier27,,10,SI
erdos_n1000_p0c0.2_20,42,3961089,luthier23,,10,SI
erdos_n1000_p0c0.2_21,42,3961090,luthier23,,10,SI
erdos_n1000_p0c0.2_22,42,3961091,luthier29,,10,SI
erdos_n1000_p0c0.2_23,42,3961092,luthier29,,10,SI
erdos_n1000_p0c0.2_24,42,3961093,luthier28,,10,SI
erdos_n1000_p0c0.2_25,42,3961094,luthier28,,10,SI
erdos_n1000_p0c0.2_26,42,3961095,luthier28,,10,SI
erdos_n1000_p0c0.2_27,42,3961096,luthier18,,10,SI
erdos_n1000_p0c0.2_28,42,3961097,luthier29,,10,SI
erdos_n1000_p0c0.2_29,42,3961098,luthier20,,10,SI
erdos_n1000_p0c0.2_2,42,3961071,luthier27,,10,SI
erdos_n1000_p0c0.2_30,42,3961099,luthier21,,10,SI
erdos_n1000_p0c0.2_3,42,3961072,luthier27,,10,SI
erdos_n1000_p0c0.2_4,42,3961073,luthier28,,10,SI
erdos_n1000_p0c0.2_5,42,3961074,luthier28,,10,SI
erdos_n1000_p0c0.2_6,42,3961075,luthier28,,10,SI
erdos_n1000_p0c0.2_7,42,3961076,luthier29,,10,SI
erdos_n1000_p0c0.2_8,42,3961077,luthier29,,10,SI
erdos_n1000_p0c0.2_9,42,3961078,luthier29,,10,SI
erdos_n1000_p0c0.3_10,42,3961109,luthier30,,10,SI
erdos_n1000_p0c0.3_11,42,3961110,luthier30,,10,SI
erdos_n1000_p0c0.3_12,42,3961111,luthier30,,10,SI
erdos_n1000_p0c0.3_13,42,3961112,luthier26,,10,SI
erdos_n1000_p0c0.3_14,42,3961113,luthier26,,10,SI
erdos_n1000_p0c0.3_15,42,3961114,luthier24,,10,SI
