tamaño,densidad,media,desviacion_std,min,max,n_instancias
1000,0.1,-60.30,2.52,-65,-55,30
1000,0.2,-33.60,0.88,-36,-32,30
1000,0.3,-23.73,0.51,-25,-23,30
1000,0.4,-18.13,0.43,-19,-17,30
1000,0.5,-14.57,0.50,-15,-14,30
1000,0.6,-12.10,0.30,-13,-12,30
1000,0.7,-10.07,0.25,-11,-10,30
1000,0.8,-8.10,0.30,-9,-8,30
1000,0.9,-6.67,0.47,-7,-6,30
2000,0.1,-61.87,1.41,-68,-60,30
2000,0.2,-35.87,1.09,-39,-34,30
2000,0.3,-25.47,0.56,-27,-25,30
2000,0.4,-19.27,0.44,-20,-19,30
2000,0.5,-15.40,0.49,-16,-15,30
2000,0.6,-12.50,0.50,-13,-12,30
2000,0.7,-10.33,0.47,-11,-10,30
2000,0.8,-8.67,0.47,-9,-8,30
2000,0.9,-7.00,0.00,-7,-7,30
3000,0.1,-65.13,0.85,-67,-64,30
3000,0.2,-36.73,0.63,-38,-36,30
3000,0.3,-25.97,0.66,-28,-25,30
3000,0.4,-20.07,0.57,-21,-19,30
3000,0.5,-15.83,0.37,-16,-15,30
3000,0.6,-13.07,0.25,-14,-13,30
3000,0.7,-10.73,0.44,-11,-10,30
3000,0.8,-8.90,0.30,-9,-8,30
3000,0.9,-7.00,0.00,-7,-7,30
