inst	nstr	length	t	GREEDY	SA	BRKGA
1	1000	1000	0.1	53	63	62
2	1000	1000	0.1	49	59	63
3	1000	1000	0.1	47	60	61
4	1000	1000	0.1	50	62	61
5	1000	1000	0.1	51	61	63
6	1000	1000	0.1	49	61	61
7	1000	1000	0.1	51	63	61
8	1000	1000	0.1	51	64	62
9	1000	1000	0.1	49	61	58
10	1000	1000	0.1	50	63	63
11	1000	1000	0.1	48	64	61
12	1000	1000	0.1	50	64	60
13	1000	1000	0.1	52	63	60
14	1000	1000	0.1	49	62	62
15	1000	1000	0.1	51	65	59
16	1000	1000	0.1	51	64	62
17	1000	1000	0.1	54	62	61
18	1000	1000	0.1	49	60	62
19	1000	1000	0.1	51	59	62
20	1000	1000	0.1	52	61	60
21	1000	1000	0.1	51	63	60
22	1000	1000	0.1	47	60	59
23	1000	1000	0.1	48	60	61
24	1000	1000	0.1	48	60	58
25	1000	1000	0.1	50	62	62
26	1000	1000	0.1	48	60	61
27	1000	1000	0.1	52	61	61
28	1000	1000	0.1	46	61	62
29	1000	1000	0.1	51	62	62
30	1000	1000	0.1	52	60	64
31	1000	1000	0.2	27	35	34
32	1000	1000	0.2	29	35	34
33	1000	1000	0.2	28	34	37
34	1000	1000	0.2	30	36	34
35	1000	1000	0.2	27	34	34
36	1000	1000	0.2	27	35	35
37	1000	1000	0.2	27	34	35
38	1000	1000	0.2	28	34	34
39	1000	1000	0.2	26	32	34
40	1000	1000	0.2	28	32	33
41	1000	1000	0.2	27	35	36
42	1000	1000	0.2	27	36	33
43	1000	1000	0.2	27	34	35
44	1000	1000	0.2	28	33	34
45	1000	1000	0.2	29	34	34
46	1000	1000	0.2	27	33	33
47	1000	1000	0.2	29	34	35
48	1000	1000	0.2	27	35	36
49	1000	1000	0.2	27	32	34
50	1000	1000	0.2	30	34	35
51	1000	1000	0.2	27	33	34
52	1000	1000	0.2	28	34	34
53	1000	1000	0.2	30	35	33
54	1000	1000	0.2	30	34	34
55	1000	1000	0.2	26	34	33
56	1000	1000	0.2	27	35	33
57	1000	1000	0.2	31	36	32
58	1000	1000	0.2	28	34	34
59	1000	1000	0.2	28	33	34
60	1000	1000	0.2	28	34	35
61	1000	1000	0.3	18	23	23
62	1000	1000	0.3	18	25	25
63	1000	1000	0.3	18	24	24
64	1000	1000	0.3	18	23	24
65	1000	1000	0.3	20	24	23
66	1000	1000	0.3	17	23	23
67	1000	1000	0.3	19	24	23
